eventid,iyear,imonth,iday,country,country_txt,region,region_txt,latitude,longitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,weaptype1,weaptype1_txt,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt
201409120028,2014,9,11,153,Pakistan,6,South Asia,34.015369,71.579286,1,0,6,Hostage Taking (Kidnapping),2,Government (General),Unknown,13,Unknown,0,0,0,0,0,,
201409120029,2014,9,12,214,Ukraine,9,Eastern Europe,48.068788,37.742007,1,0,3,Bombing/Explosion,4,Military,Donetsk People's Republic,6,Explosives/Bombs/Dynamite,0,0,0,0,1,3,Minor (likely < $1 million)
201409120031,2014,9,12,60,Egypt,10,Middle East & North Africa,28.087097,30.76184,1,0,2,Armed Assault,3,Police,Unknown,5,Firearms,2,0,0,0,0,,
201409120032,2014,9,12,217,United States,1,North America,41.370121,-75.154073,1,0,2,Armed Assault,3,Police,Individual,5,Firearms,1,0,1,0,0,,
201409120033,2014,9,12,60,Egypt,10,Middle East & North Africa,30.086821,31.947627,1,0,2,Armed Assault,3,Police,Unknown,5,Firearms,1,0,4,0,0,,
201409120034,2014,9,12,147,Nigeria,11,Sub-Saharan Africa,11.651726,13.418254,1,0,2,Armed Assault,14,Private Citizens & Property,Boko Haram,6,Explosives/Bombs/Dynamite,81,81,,,-9,,
201409120035,2014,9,12,92,India,6,South Asia,20.269877,81.489781,1,0,3,Bombing/Explosion,2,Government (General),Maoists,6,Explosives/Bombs/Dynamite,0,0,1,0,0,,
201409120036,2014,9,12,95,Iraq,10,Middle East & North Africa,33.344174,44.385139,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,2,0,8,0,-9,,
201409120037,2014,9,12,110,Lebanon,10,Middle East & North Africa,33.562609,35.368727,0,0,3,Bombing/Explosion,1,Business,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120038,2014,9,12,95,Iraq,10,Middle East & North Africa,33.298749,44.4229,1,0,3,Bombing/Explosion,1,Business,Unknown,6,Explosives/Bombs/Dynamite,1,0,6,0,-9,,
201409120039,2014,9,12,95,Iraq,10,Middle East & North Africa,33.251506,44.5078,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,3,0,9,0,-9,,
201409120040,2014,9,12,95,Iraq,10,Middle East & North Africa,32.878462,44.387479,1,0,3,Bombing/Explosion,3,Police,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,1,3,Minor (likely < $1 million)
201409120043,2014,9,12,205,Thailand,5,Southeast Asia,6.263806,101.763778,1,0,3,Bombing/Explosion,19,Transportation,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,1,3,Minor (likely < $1 million)
201409120044,2014,9,12,95,Iraq,10,Middle East & North Africa,35.270346,43.916745,1,0,6,Hostage Taking (Kidnapping),3,Police,Islamic State of Iraq and the Levant (ISIL),13,Unknown,,0,,0,0,,
